Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;;
CANADA,TECUN UMAN,05/09/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26239.9,3148.79,;;
JAPON,EL CARMEN,04/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10334.6,1240.15,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/09/2016, 87032369,2010,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19966.05,2395.93,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/09/2016, 87032490,2008,AUDI,Q7 3.6 QUATTRO,3600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,49763.44,5971.61,;;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,03/09/2016, 87032369,2014,AUDI,TTS QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,43526,5223.12,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/09/2016, 87032369,2005,AUDI,A4 18.T,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15959.91,1915.19,;;
ALEMANIA REP. FED.,PUERTO QUETZAL,30/08/2016, 87032369,2011,AUDI,A4 PREMIUM,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,60074.58,7208.95,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/09/2016, 87032490,2005,AUDI,A6 Quattro,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28974.58,3476.95,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,05/09/2016, 87032369,2006,AUDI,A4 QUATTRO,1984,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20886.35,2506.36,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ESPANA,SANTO TOMAS DE CASTILLA,17/08/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,176388.01,21166.56,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,217619.71,26114.37,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,232048.97,27845.88,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,232116.7,27854,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,222477.14,26697.26,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,208108.19,24972.98,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,222605.18,26712.62,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/08/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,222605.18,26712.62,;;
ALEMANIA REP. FED.,G8; CENTRALSA,22/08/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17541.31,2104.96,;
ALEMANIA REP. FED.,TECUN UMAN,03/09/2016, 87032369,2007,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15464.18,1855.7,;;
