ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,21/04/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,241656.01,28998.72,;
ALEMANIA REP. FED.,PUERTO BARRIOS,19/04/2016, 87032369,2003,AUDI,A4 1.8T QUATTRO,1781,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17626.45,2115.17,;
ALEMANIA REP. FED.,PUERTO BARRIOS,30/04/2016, 87032369,2010,AUDI,A5 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,47640.82,5716.9,;
ALEMANIA REP. FED.,PUERTO BARRIOS,05/05/2016, 87032369,2009,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16295.46,1955.46,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,26/04/2016, 87033380,2017,AUDI,Q7,2967,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,353422.18,42410.66,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,26/04/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,219880.87,26385.7,;
ALEMANIA REP. FED.,PUERTO BARRIOS,22/04/2016, 87032490,2000,AUDI,A6 QUATTRO,4200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9210.96,1105.32,;
ALEMANIA REP. FED.,TECUN UMAN,11/04/2016, 87032369,2002,AUDI,A4 AVANT QUATTRO 1.8T,1800,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,12465.59,1495.87,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.09,1338.85,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
