"JAPON,EL CARMEN,12/03/2018, 8703226900,2008,HONDA,FIT SPORT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18419.28,2210.31,",
"JAPON,PUERTO BARRIOS,10/03/2018, 8703236900,2007,MAZDA,MAZDA3 I SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12249.97,1470,",
"COREA DEL SUR,PUERTO QUETZAL,11/03/2018, 8702107000,2001,KIA,PREGIO,2900,PESADO,MICROBUS,OCASIONAL,DIESEL,15,4,0,21987.88,2638.55,",
"JAPON,EL CARMEN,12/03/2018, 8703226900,2002,TOYOTA,ECHO,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,19800.91,2376.11,",
"MEXICO,PUERTO BARRIOS,10/03/2018, 8703236900,2008,NISSAN,VERSA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11526.79,1383.21,",
"JAPON,EL CARMEN,16/03/2018, 8703237900,2001,TOYOTA,4RUNNER SR5 4X2,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21309.41,2557.13,",
"JAPON,TECUN UMAN,16/03/2018, 8703236900,2013,MAZDA,MAZDA3i TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16573.98,1988.88,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/03/2018, 8703237900,2011,BMW,328I XDRIVE,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14816.85,1778.02,",
"JAPON,PUERTO BARRIOS,15/03/2018, 8704315100,1989,TOYOTA,DLX 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,10678.38,1281.41,",
"INDIA,PUERTO QUETZAL,21/03/2018, 8711209000,2018,HONDA,ACTIVA 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,315586.41,37870.37,",
"INDIA,PUERTO QUETZAL,21/03/2018, 8711209000,2018,HONDA,ACTIVA 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,315586.41,37870.37,",
"INDIA,PUERTO QUETZAL,21/03/2018, 8711209000,2018,HONDA,ACTIVA 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,315586.41,37870.37,",
"JAPON,TECUN UMAN,20/03/2018, 8703249000,2007,TOYOTA,4RUNNER SR5 4X2,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25015.38,3001.85,",
"JAPON,EL CARMEN,20/03/2018, 8704315100,1991,TOYOTA,X/C 4X2 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21162.94,2539.55,",
"TAILANDIA,PUERTO QUETZAL,22/03/2018, 8703226900,2018,TOYOTA,YARIS,1496,LIVIANO,AUTOMOVIL,DISTRIBUIDOR,GASOLINA,5,4,0,278428.64,33411.44,",
"CANADA,G1"," INTEGRADA,23/03/2018, 8703237900,2015,TOYOTA,RAV4 LIMITED,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,62884.35,7546.12,"
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,307667.42,36920.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,307667.42,36920.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,307667.42,36920.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,307667.42,36920.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,310659.05,37279.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,310659.05,37279.09,",
