Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
