Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
COREA DEL SUR|TECUN UMAN|11/12/2018| 8703225900|2014|CHEVROLET|SPARK LT|1200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|9528.25|1143.39|
JAPON|EL CARMEN|11/12/2018| 8703237300|1995|TOYOTA|4RUNNER SR5 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|22255.78|2670.69|
JAPON|EL CARMEN|10/12/2018| 8704315100|1988|TOYOTA|STANDARD 4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|23487.42|2818.49|
JAPON|TECUN UMAN|10/12/2018| 8703237900|2004|HONDA|CR-V EX 4X4|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|19496.99|2339.64|
JAPON|EL CARMEN|11/12/2018| 8704315100|1986|TOYOTA|XTRA CAB 4X4 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|23862.36|2863.48|
JAPON|EL CARMEN|11/12/2018| 8703237900|2008|HONDA|CR-V 4X2 LX|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|28152.01|3378.24|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
INDIA|PUERTO QUETZAL|11/12/2018| 8711209000|2019|HERO|HUNK 200R|200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|385987.1|46318.45|
