Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
JAPON,EL CARMEN,02/05/2019, 8703237900,2007,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27970.29,3356.43,;
JAPON,EL CARMEN,02/05/2019, 8703236900,2012,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16638.23,1996.59,;
INDIA,PUERTO QUETZAL,02/05/2019, 8711209000,2019,YAMAHA,FZN250,250,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,359864.16,43183.7,;
INDIA,PUERTO QUETZAL,02/05/2019, 8711209000,2019,YAMAHA,FZN250,250,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,359864.16,43183.7,;
INDIA,PUERTO QUETZAL,02/05/2019, 8711209000,2019,YAMAHA,FZN250,250,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,359864.16,43183.7,;
INDIA,PUERTO QUETZAL,02/05/2019, 8711209000,2019,YAMAHA,FZN250,250,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,359864.16,43183.7,;
INDIA,PUERTO QUETZAL,02/05/2019, 8711209000,2019,YAMAHA,FZN250,250,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,359864.16,43183.7,;
ESTADOS UNIDOS,PUERTO BARRIOS,02/05/2019, 8704315100,2002,TOYOTA,TACOMA PRERUNNER DOUBLE C,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,29625.08,3555.01,;
JAPON,EL CARMEN,02/05/2019, 8703236900,2014,MAZDA,MAZDA3i TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22878.52,2745.42,;
JAPON,EL CARMEN,02/05/2019, 8703226900,2012,TOYOTA,YARIS LE,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22112.84,2653.54,;
REINO UNIDO,EL CARMEN,02/05/2019, 8703237900,2003,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25114.3,3013.72,;
