Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
ESTADOS UNIDOS,TECUN UMAN,14/09/2019, 8703249000,2001,NISSAN,XTERRA SE V6 4WD,3300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19114.1,2293.69,;
MEXICO,G8; CENTRALSA,16/09/2019, 8703226900,2017,HONDA,FIT EX,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27692.33,3323.08,
ESTADOS UNIDOS,TECUN UMAN,14/09/2019, 8703237900,2011,BMW,X3 XDRIVE2.8i 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,42236,5068.32,;
JAPON,TECUN UMAN,14/09/2019, 8703236900,2011,MITSUBISHI,OUTLANDER SPORT SE 4X2,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24994.77,2999.37,;
REINO UNIDO,SANTO TOMAS DE CASTILLA,14/09/2019, 8703237900,2005,HONDA,CR-V LX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15476.26,1857.15,;
JAPON,EL CARMEN,15/09/2019, 8704315100,1993,TOYOTA,DLX X/C 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,28535.43,3424.25,;
JAPON,EL CARMEN,14/09/2019, 8704315100,1991,TOYOTA,SR5 XTRA CAB 4X4,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,28727.5,3447.3,;
ESTADOS UNIDOS,TECUN UMAN,14/09/2019, 8703236900,2007,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18343.37,2201.2,;
ESTADOS UNIDOS,EL CARMEN,16/09/2019, 8704315100,1996,TOYOTA,Tacoma Xtracab 2WD LX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,26050.67,3126.08,;
JAPON,TECUN UMAN,14/09/2019, 8703236900,2003,TOYOTA,RAV4 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23106.49,2772.78,;
ESTADOS UNIDOS,TECUN UMAN,16/09/2019, 8701200000,1995,FREIGHTLINER,FLD120,12700,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15,42544.3,5105.32,;
