Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
MEXICO,EL CARMEN,14/01/2019, 8703236900,2014,NISSAN,VERSA S,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14630.05,1755.61,;
JAPON,EL CARMEN,14/01/2019, 8703237900,2004,TOYOTA,RAV4 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20387.78,2446.53,;
JAPON,G8; CENTRALSA,15/01/2019, 8711409000,2003,HONDA,CBR600RR,599,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,12852.5,1542.3,
REINO UNIDO,SANTO TOMAS DE CASTILLA,14/01/2019, 8703237900,2002,HONDA,CR-V LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,10447.62,1253.71,;
ESTADOS UNIDOS,TECUN UMAN,14/01/2019, 8704315100,2012,NISSAN,FRONTIER KING CAB 4X2,2500,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,46216.43,5545.97,;
CANADA,SANTO TOMAS DE CASTILLA,14/01/2019, 8703236900,2010,HONDA,CIVIC EX-L,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16175.75,1941.09,;
COREA DEL SUR,G1; INTEGRADA,17/01/2019, 8703236900,2010,KIA,SOUL / SPORT,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,9914.27,1189.71,
MEXICO,EL CARMEN,16/01/2019, 8703236900,2014,VOLKSWAGEN,JETTA TSI,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13228.03,1587.36,;
JAPON,SANTO TOMAS DE CASTILLA,16/01/2019, 8703237900,2008,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21008.7,2521.04,;
CHINA,PUERTO QUETZAL,16/01/2019, 8711209000,2019,FREEDOM,CR2 210,210,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,15581.74,1869.81,;
CHINA,PUERTO QUETZAL,16/01/2019, 8711209000,2019,FREEDOM,CR2 210,210,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,15581.74,1869.81,;
CHINA,PUERTO QUETZAL,16/01/2019, 8711209000,2019,FREEDOM,CR2 210,210,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,15581.74,1869.81,;
CHINA,PUERTO QUETZAL,16/01/2019, 8711209000,2019,FREEDOM,DS1,200,LIVIANO,MOTO,DISTRIBUIDOR,GASOLINA,2,0,0,5697.07,683.65,;
TAILANDIA,G8; CENTRALSA,21/01/2019, 8703225900,2014,MITSUBISHI,MIRAGE DE,1200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24010.35,2881.24,
ESTADOS UNIDOS,G8; CENTRALSA,21/01/2019, 8703249000,2010,HONDA,PILOT EX-L 2WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,8,4,0,25779.71,3093.57,
JAPON,G8; CENTRALSA,21/01/2019, 8703226900,2014,MAZDA,MAZDA2 SPORT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15237.68,1828.52,
MEXICO,G1; INTEGRADA,09/01/2019, 8703226900,2017,TOYOTA,YARIS IA,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23740.41,2848.85,
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
